AMI #,Failure Scenarios,Description,Relevant Vulnerabilities ,Impacts,Potential Mitigations,NIST CSF Subcategory
14.0,Breach of Cellular Provider’s Network Exposes AMI Access,"A cellular phone provider’s network is breached, allowing access to a private network leased to a utility for AMI command and control. The AMI implementation is vulnerable to replay attacks and DR  messages are replayed to a group of customers. (Note: This is a special case of failure scenario DR.3.)","V14A) Publicly accessible and/or third party controlled links used (e.g., commercial mobile, utility leased)",I14A) Costs of customer service for complaints and investigations,M14A) Isolate networks using different encryption keys to prevent a breach in one network from affecting another network,"PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)"
,,,V14B) Cryptography used that employs algorithms that are breakable within a time period useful to the adversary,I14B) Loss of revenue (if DR messages decrease power draw) or temporary loss of power to more critical uses (if messages increase power draw),M14B) Require approved cryptographic algorithms at the link layer to prevent a threat agent from being able to affect the confidentiality and integrity on the AMI network if a breach should occur,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
"
,,,V14C) A copy of a prior message or command is difficult or infeasible to distinguish from a new legitimate message or command in the AMI system,I14C) Cost to re-secure the network,"M14C) Protect against replay using time-stamping, or other methods","DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements"
15.0,Inadequate Security for Backup AMI Enables Malicious Activity,"Inadequate security implementation in the AMI monitoring and control backup system allows a threat agent to execute an attack on the AMI implementation during a business continuity or disaster recovery scenario. Access to these backup systems allows a threat agent to perform malicious activity such as mass disconnects of meters, stopping or modifying DR messages, or creating large numbers of problem meter reports",V15A) Weaker security architecture at backup sites,I15A) Power and revenue loss for disconnected customers,M15A) Restrict physical access for backup sites comparable to normal operational sites,"PR.AC-2: Physical access to assets is managed and protected

"
,,,V15B) Inadequate continuity and recovery security architecture used in business continuity and disaster recovery planning and procedures,I15B) Outages due to inadequate power available at peak times,M15B) Require video surveillance for backup sites comparable to normal operational sites,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events
,,,,I15C) Cost for rolling trucks to investigate problem meters,M15C) Detect physical intrusion for backup sites comparable to normal operational sites,DE.CM-2: The physical environment is monitored to detect potential cybersecurity events
,,,,I15D) Additional operational strain on the utility during a business continuity/disaster recovery situation,"M15D) Emphasize security management in business continuity and disaster recovery planning, procedures, and execution",PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
,,,,,"M15E) Define policy to include risk and vulnerability assessments in business continuity
and disaster recovery testing",ID.GV-4: Governance and risk management processes address cybersecurity risks
16.0,Compromised Headend Allows Impersonation of CA,"The private key for the certificate authority (CA) used to set up a Public Key Infrastructure (PKI) at the headend is compromised, which allows a threat agent to impersonate the CA",V16A) Cryptography used that employs algorithms that are breakable within a time period useful to the adversary for protection of the private CA key,I16A) Costs incurred for rekeying,"M16A) Require approved key management including secure generation, distribution, storage, and update of cryptographic keys","PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected"
,,,V16B) Security design does not consider the system lifecycle in the headend,I16B) Potential for power overload if the threat agent is able to introduce malicious nodes in the metering system,,
,,,,"I16C) Potential to perform security-relevant tasks such as firmware upgrades, configuration changes, etc. that are initiated from the CA",,
17.0,Malicious Creation of Duplicate APN Prevents Valid AMI Messages,A malicious individual creates a duplicate Access Point Name (APN) for the Group Special Mobile (GSM)-based cellular communications on an AMI network. The meters that are within the range then associate with the fake APN and do not receive messages from the AMI network,V17A) System permits unauthorized changes in the routing mechanisms of the cellular network,I17A) Denial of Service for cellular-based functions within the AMI network,M17A) Verify mode of GSM-based communications for AMI operate only in 3G mode,DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
,,,V17B) System relies on credentials that are easy to obtain for access for reconfiguration of the AMI network,I17AB) Cost to roll a truck to investigate unresponsive meter and to read meter data,M17B) Require fail-over for cellular-based functions fail over to an alternative nonwireless technology such as power line carrier (PLC),"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,,I17C) Inability for meters to receive DR messages could cause customers to either pay more for power or experience a loss of power,M17C) Protect credentials for modifying the configuration of the AMI network,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,"I17D) If exploited on a large scale, potential outages could occur due to a utility’s inability to implement DR",M17D) Require strong passwords for modifying the configuration of the AMI network,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M17E) Require multi-factor authentication for modifying the configuration of the AMI network,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M17F) Detect unusual patterns of traffic on the AMI cellular network,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events


"
18.0,Unauthorized Devices Create DoS and Prevent Valid DR Messages,Unauthorized devices gain access to a home area network (HAN). The devices can then be used to create a Denial-of-Service (DoS) condition so that DR messages cannot reach end customer devices.,V18A) System relies on credentials that are easy to obtain for access to the HAN,I18A) Inability to receive DR messages may cause affected customers to either pay more for power or to suffer a loss of usage of a device requiring power,M18A) Restrict device access to the HAN network,PR.AC-3: Remote access is managed
,,,V18A) Network interfaces permit unnecessary traffic flows instead of only flows to the HAN router/gateway/trust center,I18B) Utility will have associated customer service and troubleshooting costs,M18B) Authenticate devices accessing the HAN network,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)
"
,,,,"I18C) If exploited on a large scale, potential outages could occur due to utility inability to implement DR ",,
19.0,"Out of Sync Time-stamping Causes Discard of Legitimate
Commands","Time-stamping, sometimes used to detect replay attacks, gets out of sync between a meter and its respective AMI headend system, causing the meter to ignore legitimate commands it interprets as a potential replay attack. This causes loss of  advanced metering functionality such as two-way communications, remote connect/disconnect, and metrology",V19A) A copy of a prior message or command is difficult or infeasible to distinguish from a new legitimate message or command for meter commands from the AMI headend,"I19A) Higher cost, or no cost savings, to read meter data if remote reading fails",M19A) Require reliable external time source for the meter’s time-stamping functionality,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,V19B) System permits unauthorized changes to the time synchronization between meters and the AMI headend,"I19B) If exploited on a large scale, outages could occur due to utility inability to implement DR","M19B) Cross check periodically, the results of the time synchronization protocol","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,V19C) System permits unauthorized changes to timestamps on meter commands from the AMI headend,"I19C) Cost of associated customer service, late invoicing, and troubleshooting efforts","M19C) Check software execution integrity of the time synchronization protocol, since software may be compromised when loaded for execution","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M19D) Verify time synchronization in the time synchronization protocol,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M19E) Protect against replay using session tokens,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed
DE.DP-2: Detection activities comply with all applicable requirements"
20.0,Independent Energy Generator Causes Lower time-of use (TOU) Pricing,An independent energy generator bribes an AMI operator to lower TOU pricing to increase demand,V20A) System permits unauthorized changes to the TOU pricing implementation,I20A) Utility may lose revenue due to lower prices charged customers at a large volume,M20A) Create audit logs to record TOU pricing changes,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,,,M20B) Require two-person rule for major changes,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
,,,,,M20C) Implement configuration management to reduce the likelihood that one person can implement a change that impacts the entire system,"PR.IP-3: Configuration change control processes are in place
PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
21.0,Stolen Field Service Tools Expose AMI Infrastructure,"A utility’s field service laptop and optical probe are lost or stolen, exposing the software to control components of the AMI infrastructure (e.g., meters and concentrators) to any user","V21A) Physical access to mobile devices may enable logical access to business functions by unauthorized individuals* to software components of the AMI
infrastructure","I21A) Potential for unexpected and perhaps intermittent power loss for a targeted
customer or for a large number of customers, and associated revenue loss for a
utility",M21A) Configure for least functionality on the field service laptop,PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
,,,,I21B) Impact may continue even after the laptop is retrieved if a copy of the laptop’s OS and/or applications can be exfiltrated or recreated by the threat agent,M21B) Encrypt data at rest on the field service equipment laptop,PR.DS-1: Data-at-rest is protected
,,,,,M21C) Track asset (phone home) for the field service equipment laptop,ID.AM-1: Physical devices and systems within the organization are inventoried
,,,,,M21D) Require credential revocation for laptops,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,,M21E) Sanitize device with remote wipe capability for lost field assets,PR.IP-6: Data is destroyed according to policy
22.0,Wireless Access to AMI Administration Causes Invalid Disconnect,A threat agent gains wireless access to a web-based administration page on an AMI device that controls the ability to disconnect power from the device,"V22A) System permits wireless access by unauthorized parties* to the wireless network
used to control an AMI device",I22A) Unexpected power loss for the customer,M22A) Require multi-factor authentication for privileged functionality,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,V22B) System relies on credentials that are easy to obtain for access to the web-based administration page used to control an AMI device,,M22B) Restrict application access to web-based administration,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M22C) Require approved cryptographic algorithms to protect the wireless network,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
"
23.0,"Meter Authentication Credentials are Compromised and Posted on
Internet","A utility deploys all AMI devices with the same authentication credentials granting privileged access via the local infra-red port, and the credentials are compromised and posted on the Internet",V23A) System relies on credentials that are easy to obtain for access to AMI devices (hardcoded passwords),"I23A) Potential for unexpected and perhaps intermittent power loss for a targeted customer or for a large number of customers, and associated revenue loss for a utility",M23A) Require multi-factor authentication for privileged functionality,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,V23B) Shared credentials are used for access to AMI devices,,M23B) Verify absence of hardcoded credentials on AMI equipment,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,,M23C) Require password rule enforcement including rule that limits sharing of a password by many meters,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
24.0,Weak Cryptography Exposes AMI Device Communication,"An AMI vendor implements weak cryptography that is easy to crack, allowing access to and modification of configuration or data on that interface.",V24A) Cryptography used that employs algorithms that are breakable within a time period useful to the adversary to control access to configuration or data in AMI implementation,"I24A) Cost to upgrade or to replace all devices, if upgrade is not feasible. This impact is expected whether or not a threat agent ever uses this vulnerability to launch an attack",M24A) Require approved cryptographic algorithms,"PR.DS-2: Data-in-transit is protected
"
,,,,"I24B) Loss of customers’ private information, and associated costs",M24B) Define procedure in change and configuration management policies and procedures to allow future cryptographic changes,"PR.IP-3: Configuration change control processes are in place
"
,,,,"I24C) Mass disconnect of meters potentially causing circuit breaker trips, resulting in
temporary outages until power on the grid can be rebalanced","M24C) Define procedure to include security, including cryptography, in the purchasing process",ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.
,,,,,M24D) Perform security testing of security controls during system acceptance testing,PR.IP-2: A System Development Life Cycle to manage systems is implemented
25.0,Known but Unpatched Vulnerability Exposes AMI Infrastructure,A threat agent is able to gain access to the AMI system by exploiting a known vulnerability that has not yet been patched. The threat agent is unable to access the AMI applications but can access other AMI devices and the headend system,V25A) Software patches are not checked regularly to ensure that they are current in the AMI devices and headend system,"I25A) Access to an AMI headend, via an unpatched firewall and operating system for
example, could permit a threat agent to shut down the AMI headend","M25A) Maintain patches including a severity rating (e.g., critical, important, moderate, low) and timeframes for patching vulnerabilities based on severity","PR.MA-1: Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools
PR.IP-12: A vulnerability management plan is developed and implemented
RS.MI-3: Newly identified vulnerabilities are mitigated or documented as accepted risks"
,,,,"I25B) Outages caused by an AMI headend shut down due to the utility’s inability to
implement DR at peak times",M25B) Detect unauthorized access in network traffic to the AMI headend servers,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed"
,,,,I25C) Customer service and troubleshooting costs,M25C) Generate alarms for unauthorized access to the AMI headend servers,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events"
,,,,,M25D) Restrict network access to the AMI headend servers,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.AC-3: Remote access is managed"
,,,,,"M25E) Define procedures for equipment purchase, to ensure timely availability of
validated security updates from vendor","ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan
PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access"
,,,,,M25F) Perform security testing to validate that the system as purchased is current with respect to security updates,"ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process "
26.0,AMI Billing Cards are Compromised Incurring Loss of Revenue,"The smart cards or magnetic cards for AMI billing are compromised. Example compromises include tampering with cards to change the credit amount, erasing the logic that decrements the credit amount remaining, or forging cards",V26A) System assumes data inputs and resulting calculations are accurate on smartcards inserted into a meter,I26A) Loss of revenue,M26A) Design for security in the payment system,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
,,,V26B) System permits unauthorized changes to AMI billing information on smartcards,,M26B) Check software file integrity (digital signatures or keyed hashes) to the card contents,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,"M26C) Authenticate data source i.e., smart cards or magnetic cards for AMI billing","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M26D) Perform security testing as a part of system acceptance testing,"PR.IP-2: A System Development Life Cycle to manage systems is implemented
ID.RA-1: Asset vulnerabilities are identified and documented"
27.0,Reverse Engineering of AMI Equipment Allows Unauthorized Mass,"A threat agent is able to reverse engineer AMI equipment (meters and concentrators) to determine how to remotely control them. This allows the threat agent to control many devices simultaneously, and, for example, to perform a simultaneous mass disconnect, send DR messages that cause consumption of electricity to go up dramatically, or cause devices to send out last gasp or self-test failed messages","V27A) Design permits unnecessary privileges*, such as unprotected interfaces used for development, testing, monitoring, or maintenance purposes that remain in production equipment","I27A) When demand can be manipulated quickly by a threat agent, there is the potential for outages while operators adjust generation to demand",M27A) Design for security to identify and remove unsecure development features and “nonstandard” interfaces from “production devices”,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
,,,V27B) Back doors for access are left in place for AMI equipment,"I27B) Faked failure messages cause the utility to assume the cost of investigation and deploying technicians to resolve issues, as well as cost of their inability to address real problem meters due to the false event “noise.”",M27B) Design for security in equipment such that knowledge of the design alone should not allow a threat agent to access a device without knowledge of keys and other credentials in equipment devices,PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
,,,,,M27C) Configure for least functionality by removing unnecessary interfaces and labeling from production devices,"PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
"
28.0,Failed Patching Causes AMI Devices to Stop Operating,"A utility attempts to patch the AMI devices, but fails. Many AMI devices are no longer able to operate due to the failed patching pr",V28A) Software patches may be applied without verifying continued system operation in the realistic environment of a large footprint operation,I28A) Cost to utility to repair or replace devices,M28A) Require fail-safe rollback for the patching process,"PR.PT-5: Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations"
,,,,"I28B) Lack of capability to invoice customers, causing temporary financial loss",M28B) Test before installation to troubleshoot problems by testing a (non-production) set of meters prior to applying patches to production units,"PR.DS-7: The development and testing environment(s) are separate from the production environment
PR.IP-2: A System Development Life Cycle to manage systems is implemented"
,,,,"I28C) Loss of capability to perform DR, which may cause outages during periods of peak use",,
,,,,I28D) Cost of handling customer service situation,,
29.0,"Unauthorized Device Acquires HAN Access and Steals Private
Information",An unauthorized device gains access to the HAN and uses the web interface to obtain private information. Examples of such information are patterns of energy usage and the presence of medical devices,V29A) System relies on credentials that are easy to obtain for access to the HAN,I29A) Privacy violations for customers,M29A) Require approved cryptographic algorithms for protection of the HAN,"PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected
"
,,,,"I29B) Loss of public confidence in AMI, even if the utility is not held legally responsible for the privacy violations",M29B) Require multi-factor authentication for access to the HAN,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,I29C) Costs of privacy breach notification if required of the utility,M29C) Minimize private information in HAN systems and devices,PR.PT-3: The principle of least functionality is incorporated by configuring systems to provide only essential capabilities
30.0,Threat Agent Performs Unauthorized Firmware Alteration,"A threat agent installs rogue firmware on multiple smart meters, bypassing any protection mechanism (e.g., checksums, signatures) and fully controlling smart meter behavior. This might be achieved via direct access to meters, via interception/modification of legitimate meter updates or via access to the headend",V30A) System relies on credentials that are easy to obtain for access to install firmware on the meter,I30A) Continuous loss of revenue for utility if modified firmware understates usage (impact scales as more meters are affected),"M30A) Detect unusual patterns of energy usage on smart meters (all utilities have some type of revenue protection scheme, but these may not be sufficient)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
"
,,,V30B) System permits installation of malware* on a meter,"I30B) Truck rolls needed to investigate compromised meter failure or nonresponsive
meters",M30B) Require multi-factor authentication for firmware updates,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,M30C) Check software file integrity (using digital signature or keyed hash) code files to validate firmware updates before installation,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
,,,,,M30D) Use Role-Based Access Control to limit privileges to install firmware,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
31.0,Rogue Firmware Enables Unauthorized Mass Remote Disconnect,"A threat agent prepares smart meter firmware containing malware and manually installs it on a target smart meter in each neighborhood. The single insertion point in each neighborhood becomes the bot master for a smart meter based botnet. The bot master acquires the IP address for the neighborhood's headend at the utility and spoofs that address. As other smart meters attempt to connect to the headend, the bot master sends a firmware update command to the smart meters and transmits the malicious firmware to each victim. Individual bots propagate the malicious firmware throughout the neighborhood and use them to achieve a mass remote disconnect scheduled at the same time","V31A) System relies on credentials that are easy to obtain for access to communicate to the meter with the privileges of the headend, such as updating meter firmware","I31A) An instantaneous mass disconnect/reconnect over multiple feeders, if permitted by the system, could cause temporary blackouts due to circuit breaker trips until power on the grid can be rebalanced",M31A) Detect anomalous commands (disconnect and reconnect commands) on the network not stemming from the normal Customer Information System (CIS) system,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed


"
,,,"V31B) System permits unauthorized installation of software or firmware* such as the
propagation of unauthorized firmware to meters by a compromised headend
system","I31B) A small number of disconnects could subvert the smart grid deployment and
make the utility lose consumer confidence",M31B) Require multi-factor authentication for firmware updates,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)"
,,,,,"M31C) Check software file integrity (digital signature or keyed hash) on code files to
validate firmware updates before installation","PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity"
32.0,Power Stolen by Reconfiguring Meter via Optical Port,"Many smart meters provide the capability of re-calibrating the settings via an optical port, which is then misused by economic thieves who offer to alter the meters for a fee, changing the settings for recording power consumption and often cutting utility bills by 50-75%. This requires collusion between a knowledgeable criminal and an electric customer, and will spread because of the ease of intrusion and the economic benefit to both parties","V32A) Insiders with high potential for criminal or malicious behavior have access to critical functions or sensitive data, in particular, procedures and equipment for modifying meter configurations",I32A) The utility experiences a loss of revenue due to under billing,V32A) Require password rule enforcement (not the same password for all meters),"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,"V32B) System relies on credentials that are easy to obtain for access to the meter optical port, which in many cases allows reconfiguration of the meter settings (the optical port password may be found unencrypted on the meter or in field equipment that accesses the meter)",,"V32B) Detect unusual patterns of energy usage on smart meters (all utilities have some type of revenue protection scheme, but these may not be sufficient)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
"
,,,V32C) System permits unauthorized changes to the configuration that determines how power consumption is recorded,,V32C) Detect unauthorized configuration changes on the meter,"DE-CM-1: The network is monitored to detect potential cybersecurity events
PR.IP-3: Configuration change control processes are in place"
,,,V32D) System relies on credentials that are easy to obtain for access (via password) to field tool or third party installations of software that can reconfigure meters,,"V32D) Verify personnel with extensive background checks on utility employees and contract maintenance personnel, especially those that directly interact with field devices","PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)"
,,,,,V32E) Use Role-Based Access Control to limit privilege to change meter settings that determine how power consumption is recorded,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,"V32F) Protect credentials to meter optical port, within administrative processes, on meter and in field equipment","PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,,,,
